transaction_no,buy/sell,date,price
1,BUY,2024-01-02 10:00:00,779060
2,SELL,2024-01-02 18:45:00,779450
3,BUY,2024-01-04 13:30:00,759680
4,SELL,2024-01-04 18:00:00,757010
5,BUY,2024-01-04 22:15:00,759110
6,SELL,2024-01-04 23:00:00,760000
7,BUY,2024-01-05 09:00:00,760900
8,SELL,2024-01-05 13:30:00,758540
9,BUY,2024-01-05 21:30:00,764760
10,SELL,2024-01-05 23:00:00,761770
11,BUY,2024-01-08 21:15:00,759250
12,SELL,2024-01-08 23:00:00,759260
13,BUY,2024-01-09 14:30:00,760060
14,SELL,2024-01-09 21:45:00,758010
15,BUY,2024-01-10 14:30:00,757520
16,SELL,2024-01-10 17:30:00,756250
17,BUY,2024-01-11 09:00:00,756960
18,SELL,2024-01-11 16:00:00,756470
19,BUY,2024-01-11 18:30:00,758300
20,SELL,2024-01-11 21:00:00,753900
21,BUY,2024-01-12 10:45:00,753160
22,SELL,2024-01-12 20:30:00,764850
23,BUY,2024-01-12 20:45:00,764570
24,SELL,2024-01-12 23:00:00,758910
25,BUY,2024-01-15 10:45:00,762000
26,SELL,2024-01-15 20:00:00,760410
27,BUY,2024-01-17 16:30:00,753990
28,SELL,2024-01-17 21:15:00,751880
29,BUY,2024-01-18 13:15:00,751020
30,SELL,2024-01-18 20:15:00,749070
31,BUY,2024-01-18 22:15:00,751460
32,SELL,2024-01-18 23:00:00,751290
33,BUY,2024-01-19 09:00:00,751220
34,SELL,2024-01-19 20:45:00,750000
35,BUY,2024-01-22 22:00:00,744440
36,SELL,2024-01-22 23:00:00,745000
37,BUY,2024-01-23 09:00:00,744900
38,SELL,2024-01-23 14:45:00,745010
39,BUY,2024-01-23 22:15:00,745620
40,SELL,2024-01-23 23:00:00,744900
41,BUY,2024-01-24 13:00:00,748000
42,SELL,2024-01-24 21:45:00,751190
43,BUY,2024-01-25 09:30:00,752190
44,SELL,2024-01-25 22:30:00,752220
45,BUY,2024-01-29 10:45:00,755000
46,SELL,2024-01-29 15:45:00,754450
47,BUY,2024-01-29 18:30:00,755570
48,SELL,2024-01-29 21:00:00,754400
49,BUY,2024-01-30 09:00:00,757820
50,SELL,2024-01-30 16:30:00,758200
51,BUY,2024-01-31 15:15:00,757600
52,SELL,2024-01-31 23:00:00,758140
53,BUY,2024-02-01 21:00:00,753520
54,SELL,2024-02-01 23:00:00,756600
55,BUY,2024-02-02 09:00:00,757100
56,SELL,2024-02-02 20:30:00,748190
57,BUY,2024-02-06 12:00:00,743000
58,SELL,2024-02-06 15:15:00,742470
59,BUY,2024-02-06 21:30:00,743750
60,SELL,2024-02-06 23:00:00,743500
61,BUY,2024-02-07 20:30:00,743080
62,SELL,2024-02-07 23:00:00,741910
63,BUY,2024-02-08 13:00:00,741360
64,SELL,2024-02-08 18:45:00,741450
65,BUY,2024-02-08 22:15:00,744000
66,SELL,2024-02-08 23:00:00,744600
67,BUY,2024-02-09 09:00:00,747000
68,SELL,2024-02-09 19:45:00,745350
69,BUY,2024-02-12 10:00:00,748000
70,SELL,2024-02-12 20:45:00,748500
71,BUY,2024-02-13 14:15:00,751410
72,SELL,2024-02-13 19:45:00,743000
73,BUY,2024-02-14 17:30:00,734840
74,SELL,2024-02-14 23:00:00,740500
75,BUY,2024-02-15 09:00:00,741990
76,SELL,2024-02-15 23:00:00,749220
77,BUY,2024-02-16 10:15:00,750980
78,SELL,2024-02-16 23:00:00,756990
79,BUY,2024-02-19 14:00:00,754500
80,SELL,2024-02-19 19:15:00,754010
81,BUY,2024-02-20 15:00:00,752360
82,SELL,2024-02-20 21:45:00,752280
83,BUY,2024-02-21 10:30:00,753890
84,SELL,2024-02-21 14:15:00,752090
85,BUY,2024-02-22 11:00:00,750000
86,SELL,2024-02-22 17:15:00,751220
87,BUY,2024-02-23 17:15:00,747130
88,SELL,2024-02-23 20:30:00,745000
89,BUY,2024-02-27 13:30:00,743460
90,SELL,2024-02-27 16:45:00,743200
91,BUY,2024-02-28 18:45:00,738220
92,SELL,2024-02-28 23:00:00,738020
93,BUY,2024-02-29 10:30:00,739130
94,SELL,2024-02-29 15:00:00,737740
95,BUY,2024-02-29 20:30:00,741620
96,SELL,2024-02-29 23:00:00,740890
97,BUY,2024-03-01 10:00:00,743000
98,SELL,2024-03-01 14:30:00,740550
99,BUY,2024-03-01 16:45:00,742480
100,SELL,2024-03-01 23:00:00,749310
101,BUY,2024-03-04 09:00:00,748350
102,SELL,2024-03-04 11:00:00,747800
103,BUY,2024-03-04 13:45:00,749810
104,SELL,2024-03-04 21:30:00,759820
105,BUY,2024-03-04 21:45:00,759330
106,SELL,2024-03-04 23:00:00,759000
107,BUY,2024-03-05 09:00:00,759130
108,SELL,2024-03-05 22:30:00,759930
109,BUY,2024-03-06 12:45:00,760280
110,SELL,2024-03-06 23:00:00,765240
111,BUY,2024-03-07 14:45:00,765680
112,SELL,2024-03-07 23:00:00,767100
113,BUY,2024-03-08 18:45:00,769700
114,SELL,2024-03-08 21:00:00,767190
115,BUY,2024-03-11 19:30:00,769780
116,SELL,2024-03-11 23:00:00,769520
117,BUY,2024-03-13 12:15:00,765420
118,SELL,2024-03-13 21:45:00,775870
119,BUY,2024-03-13 22:00:00,775700
120,SELL,2024-03-13 23:00:00,775620
121,BUY,2024-03-14 09:00:00,777100
122,SELL,2024-03-14 20:45:00,777050
123,BUY,2024-03-15 09:45:00,779000
124,SELL,2024-03-15 23:00:00,780580
125,BUY,2024-03-18 13:45:00,780460
126,SELL,2024-03-18 20:45:00,780820
127,BUY,2024-03-19 10:00:00,781460
128,SELL,2024-03-19 12:30:00,777430
129,BUY,2024-03-19 16:45:00,777960
130,SELL,2024-03-19 19:30:00,775200
131,BUY,2024-03-19 22:00:00,777380
132,SELL,2024-03-19 23:00:00,777700
